id,"title","description","image_url",price,"created_at","updated_at","artist","typo"
5652,"Africa",NULL,"Steel_Drums_And_Percussion.jpg",12.13,"2011-10-19 19:18:30","2011-10-19 19:18:30","Bakra Bata","audio-CD"
5653,"Ah Hearin Pan",NULL,"Steel_Drums_And_Percussion.jpg",13.13,"2011-10-19 19:18:31","2011-10-19 19:18:31","Bakra Bata","audio-CD"
5654,"Shepherd Moons",NULL,"Shepherd_Moons.jpg",1.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5655,"Caribbean Blue",NULL,"Shepherd_Moons.jpg",2.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5656,"How Can I Keep From Singing?",NULL,"Shepherd_Moons.jpg",3.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5657,"Ebudae",NULL,"Shepherd_Moons.jpg",4.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5658,"Angeles",NULL,"Shepherd_Moons.jpg",5.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5659,"No Holly For Miss Quinn",NULL,"Shepherd_Moons.jpg",6.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5660,"Book Of Days",NULL,"Shepherd_Moons.jpg",7.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5661,"Evacuee",NULL,"Shepherd_Moons.jpg",8.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5662,"Lothlórien",NULL,"Shepherd_Moons.jpg",9.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5663,"Marble Halls",NULL,"Shepherd_Moons.jpg",10.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5664,"Afer Ventus",NULL,"Shepherd_Moons.jpg",11.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5665,"Smaointe",NULL,"Shepherd_Moons.jpg",12.12,"2011-10-19 19:18:31","2011-10-19 19:18:31","Enya","audio-CD"
5666,"Stop Your Sobbing","Ray Davies","The_Singles.jpg",1.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5667,"Kid","Chrissie Hynde","The_Singles.jpg",2.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5668,"Brass In Pocket","Chrissie Hynde/James Honeyman-Scott","The_Singles.jpg",3.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5669,"Talk Of The Town","Chrissie Hynde","The_Singles.jpg",4.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5670,"I Go To Sleep","Ray Davies","The_Singles.jpg",5.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5671,"Day After Day","Chrissie Hynde/James Honeyman-Scott","The_Singles.jpg",6.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5672,"Message Of Love","Chrissie Hynde","The_Singles.jpg",7.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5673,"Back On The Chain Gang","Chrissie Hynde","The_Singles.jpg",8.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5674,"Middle Of The Road","Chrissie Hynde","The_Singles.jpg",9.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5675,"2000 Miles","Chrissie Hynde","The_Singles.jpg",10.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5676,"Show Me","Chrissie Hynde","The_Singles.jpg",11.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5677,"ThinLine Between Love  and Hate","Jackie Members/Richard Poindexter/Robert Poindexter","The_Singles.jpg",12.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5678,"Dont Get Me Wrong","Chrissie Hynde","The_Singles.jpg",13.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5679,"My Baby","Chrissie Hynde","The_Singles.jpg",15.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","Pretenders","audio-CD"
5680,"I Got You Babe","Jack Nitzsche/Sonny Bono","The_Singles.jpg",16.16,"2011-10-19 19:18:31","2011-10-19 19:18:31","UB40 Feat. Chrissie Hynde","audio-CD"
5681,"Stacked Actors","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",1.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5682,"Breakout","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",2.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5683,"Learn To Fly","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",3.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5684,"Gimme Stitches","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",4.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5685,"Generator","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",5.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5686,"Aurora","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",6.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5687,"Live-In Skin","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",7.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5688,"Next Year","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",8.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5689,"Headwires","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",9.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5690,"Aint It The Life","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",10.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5691,"M.I.A.","Dave, Taylor, Nate, Chris","There_Is_Nothing_Left_To_Lose.jpg",11.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","Foo Fighters","audio-CD"
5692,"Radio Song","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",1.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M. Feat. KRS-One","audio-CD"
5693,"Losing My Religion","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",2.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5694,"Low","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",3.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5695,"Near Wild Heaven","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",4.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5696,"Endgame","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",5.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5697,"Shiny Happy People","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",6.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M. Feat. Kate Pearson","audio-CD"
5698,"Belong","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",7.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5699,"Half A World Away","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",8.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5700,"Texarkana","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",9.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5701,"Country Feedback","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",10.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M.","audio-CD"
5702,"Me In Honey","Bill Berry-Peter Buck-Mike Mills-Michael Stipe","Out_Of_Time.jpg",11.11,"2011-10-19 19:18:31","2011-10-19 19:18:31","R.E.M. Feat. Kate Pearson","audio-CD"
5703,"Soul Rebel",NULL,"Africa_Unite:_The_Singles_Collection.jpg",1.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5704,"Lively Up Yourself",NULL,"Africa_Unite:_The_Singles_Collection.jpg",2.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5705,"Trenchtown Rock",NULL,"Africa_Unite:_The_Singles_Collection.jpg",3.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5706,"Concrete Jungle",NULL,"Africa_Unite:_The_Singles_Collection.jpg",4.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5707,"I Shot The Sheriff","Bob Marley","Africa_Unite:_The_Singles_Collection.jpg",5.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5708,"Get Up, Stand Up","BobMarley  and Peter Tosh","Africa_Unite:_The_Singles_Collection.jpg",6.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5709,"No Woman, No Cry (Live)","Vincent Ford","Africa_Unite:_The_Singles_Collection.jpg",7.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5710,"Roots, Rock, Reggae","Vincent Ford","Africa_Unite:_The_Singles_Collection.jpg",8.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5711,"Waiting In Vain",NULL,"Africa_Unite:_The_Singles_Collection.jpg",10.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5712,"Is This Love",NULL,"Africa_Unite:_The_Singles_Collection.jpg",12.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5713,"Sun Is Shining",NULL,"Africa_Unite:_The_Singles_Collection.jpg",13.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5714,"Could You Be Loved",NULL,"Africa_Unite:_The_Singles_Collection.jpg",14.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5715,"Three Little Birds",NULL,"Africa_Unite:_The_Singles_Collection.jpg",15.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5716,"One Love/People Get Ready","Curtis Mayfield","Africa_Unite:_The_Singles_Collection.jpg",17.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5717,"Africa Unite (Will.I.Am Remix)",NULL,"Africa_Unite:_The_Singles_Collection.jpg",18.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5718,"Slogans",NULL,"Africa_Unite:_The_Singles_Collection.jpg",19.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5719,"Stand Up Jamrock (Ashley Beedle Remix)","BobMarley  and Peter Tosh","Africa_Unite:_The_Singles_Collection.jpg",20.20,"2011-10-19 19:18:31","2011-10-19 19:18:31","BobMarley  and Wailers","audio-CD"
5720,"Glass,Concrete  and Stone","David Byrne","Grown_Backwards.jpg",1.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5721,"The Man Who Loved Beer","Donald Charles Book and Kurt Wagner","Grown_Backwards.jpg",2.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5722,"Au Fond Du Temple Saint","Georges Bizet","Grown_Backwards.jpg",3.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5723,"Empire","David Byrne","Grown_Backwards.jpg",4.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5724,"Tiny Apocalypse","David Byrne","Grown_Backwards.jpg",5.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5725,"She Only Sleeps","David Byrne","Grown_Backwards.jpg",6.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5726,"Dialog Box","David Byrne","Grown_Backwards.jpg",7.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5727,"The Other Side Of This Life","David Byrne","Grown_Backwards.jpg",8.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5728,"Why","David Byrne","Grown_Backwards.jpg",9.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5729,"Pirates","David Byrne","Grown_Backwards.jpg",10.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5730,"Civilization","David Byrne","Grown_Backwards.jpg",11.15,"2011-10-19 19:18:31","2011-10-19 19:18:31","David Byrne","audio-CD"
5731,"Astronaut","David Byrne","Grown_Backwards.jpg",12.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","David Byrne","audio-CD"
5732,"Glad","David Byrne","Grown_Backwards.jpg",13.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","David Byrne","audio-CD"
5733,"Un Di Felice, Eterea","Giuseppe Verdi","Grown_Backwards.jpg",14.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","David Byrne","audio-CD"
5734,"Lazy","David Byrne and X-Press 2","Grown_Backwards.jpg",15.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","David Byrne","audio-CD"
5735,"The New Year","Gibbard/Harmer/Jason McGerr/Walla","Transatlanticism.jpg",1.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5736,"Lightness","Ben Gibbard","Transatlanticism.jpg",2.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5737,"Title And Registration","Gibbard/Walla","Transatlanticism.jpg",3.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5738,"Expo 86","Gibbard/Walla","Transatlanticism.jpg",4.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5739,"Tiny Vessels","Gibbard/Harmer","Transatlanticism.jpg",6.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5740,"Transatlanticism","Ben Gibbard/Christopher Walla","Transatlanticism.jpg",7.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5741,"Death Of An Interior Decorator","Ben Gibbard","Transatlanticism.jpg",9.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5742,"We Looked Like Giants","Ben Gibbard/Christopher Walla/Jason McGerr/Nick Harmer","Transatlanticism.jpg",10.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5743,"A Lack Of Color","Ben Gibbard","Transatlanticism.jpg",11.11,"2011-10-19 19:18:32","2011-10-19 19:18:32","Death Cab For Cutie","audio-CD"
5744,"My Brave Face","McCartney,Paul  and Costello, Elvis","Flowers_in_the_Dirt.jpg",1.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5745,"Rough Ride","McCartney, Paul","Flowers_in_the_Dirt.jpg",2.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5746,"You Want Her Too","McCartney,Paul  and Costello, Elvis","Flowers_in_the_Dirt.jpg",3.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5747,"Distractions","McCartney, Paul","Flowers_in_the_Dirt.jpg",4.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5748,"We Got Married","McCartney, Paul","Flowers_in_the_Dirt.jpg",5.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5749,"Put It There","McCartney, Paul","Flowers_in_the_Dirt.jpg",6.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5750,"Figure Of Eight","McCartney, Paul","Flowers_in_the_Dirt.jpg",7.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5751,"This One","McCartney, Paul","Flowers_in_the_Dirt.jpg",8.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5752,"Dont Be Careless Love","McCartney,Paul  and Costello, Elvis","Flowers_in_the_Dirt.jpg",9.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5753,"That Day Is Done","McCartney,Paul  and Costello, Elvis","Flowers_in_the_Dirt.jpg",10.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5754,"How Many People","McCartney, Paul","Flowers_in_the_Dirt.jpg",11.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5755,"Motor Of Love","McCartney, Paul","Flowers_in_the_Dirt.jpg",12.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5756,"Ou Est Le Soleil","McCartney, Paul","Flowers_in_the_Dirt.jpg",13.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Paul McCartney","audio-CD"
5757,"Button My Lip","Elvis Costello","The_Delivery_Man.jpg",1.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5758,"Country Darkness","Elvis Costello","The_Delivery_Man.jpg",2.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5759,"Theres A Story In Your Voice","Elvis Costello","The_Delivery_Man.jpg",3.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5760,"Either Side Of The Same Town","DeclanMacManusElvis Costello  and Jerry Ragavoy/Jerry Ragavoy","The_Delivery_Man.jpg",4.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5761,"Bedlam","Elvis Costello","The_Delivery_Man.jpg",5.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5762,"The Delivery Man","Elvis Costello","The_Delivery_Man.jpg",6.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5763,"MISSING TRACK SEVEN NAME","Elvis Costello","The_Delivery_Man.jpg",7.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5764,"Nothing Clings Like Ivy","Elvis Costello","The_Delivery_Man.jpg",8.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5765,"The Name Of This Thing Is Not Love","Elvis Costello","The_Delivery_Man.jpg",9.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5766,"Heart Shaped Bruise","Elvis Costello","The_Delivery_Man.jpg",10.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","Elvis Costello  and Imposters","audio-CD"
5767,"Needle Time","Elvis Costello","The_Delivery_Man.jpg",11.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5768,"The Judgement","Cait ORiordan  and Elvis Costello Declan MacManus","The_Delivery_Man.jpg",12.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5769,"The Scarlet Tide","Elvis Costello  and T-Bone Burnett","The_Delivery_Man.jpg",13.13,"2011-10-19 19:18:32","2011-10-19 19:18:32","ElvisCostello  and Imposters","audio-CD"
5770,"It Is Time","Karl Wallinger","Egyptology.jpg",1.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5771,"Beautiful Dream","Karl Wallinger","Egyptology.jpg",2.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5772,"Call Me Up","Karl Wallinger","Egyptology.jpg",3.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5773,"Vanity Fair","Karl Wallinger","Egyptology.jpg",4.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5774,"Shes The One","Karl Wallinger","Egyptology.jpg",5.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5775,"(Vocal Interlude)","Karl Wallinger","Egyptology.jpg",6.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
5776,"Curse Of The Mummys Tomb","Karl Wallinger","Egyptology.jpg",7.15,"2011-10-19 19:18:32","2011-10-19 19:18:32","World Party","audio-CD"
